Rank_2012,City,State,Census_2010,Estimate_2012,Growth_Rate,Pop_Density_2010,Wikipedia_URL,Picture_URL
30,Milwaukee,Wisconsin,594833,598916,0.0069,6188,"http://en.wikipedia.org/wiki/Milwaukee,_Wisconsin",http://upload.wikimedia.org/wikipedia/en/f/fd/Milseal.png
31,Las Vegas,Nevada,583756,596424,0.0217,4298,http://en.wikipedia.org/wiki/Las_Vegas,http://upload.wikimedia.org/wikipedia/en/d/de/Las_Vegas_seal.jpg
32,Albuquerque,New Mexico,545852,555417,0.0175,2908,"http://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",http://upload.wikimedia.org/wikipedia/en/3/3b/Albuquerque_New_Mexico_logo.png
33,Tucson,Arizona,520116,524295,0.008,2294,"http://en.wikipedia.org/wiki/Tucson,_Arizona",http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/TucsonDerivative.png/132px-TucsonDerivative.png
34,Fresno,California,494665,505882,0.0227,4418,"http://en.wikipedia.org/wiki/Fresno,_California",http://upload.wikimedia.org/wikipedia/en/7/74/Fresnoseal.png
35,Sacramento,California,466488,475516,0.0194,4764,"http://en.wikipedia.org/wiki/Sacramento,_California","http://en.wikipedia.org/wiki/File:Flag_of_Sacramento,_California.svg"
36,Long Beach,California,462257,467892,0.0122,9191,"http://en.wikipedia.org/wiki/Long_Beach,_California",http://upload.wikimedia.org/wikipedia/en/1/1e/LongBeachLogo.jpg
37,Kansas City,Missouri,459787,464310,0.0098,1460,"http://en.wikipedia.org/wiki/Kansas_City,_Missouri",http://upload.wikimedia.org/wikipedia/en/4/4d/Kcmoseal.gif
38,Mesa,Arizona,439041,452084,0.0297,3218,"http://en.wikipedia.org/wiki/Mesa,_Arizona",http://upload.wikimedia.org/wikipedia/commons/b/b5/Mesaazlogo.jpg
39,Virginia Beach,Virginia,437994,447021,0.0206,1759,"http://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Seal_of_Virginia_Beach%2C_Virginia.png/240px-Seal_of_Virginia_Beach%2C_Virginia.png
40,Atlanta,Georgia,420003,443775,0.0566,3154,"http://en.wikipedia.org/wiki/Atlanta,_Georgia",http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seal_of_Atlanta.png/240px-Seal_of_Atlanta.png
41,Colorado Springs,Colorado,416427,431834,0.037,2141,"http://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Colorado_Springs%2C_Colorado.svg/200px-Flag_of_Colorado_Springs%2C_Colorado.svg.png
42,Raleigh,North Carolina,403892,423179,0.0478,2826,"http://en.wikipedia.org/wiki/Raleigh,_North_Carolina",http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/City_of_Raleigh_Seal.svg/200px-City_of_Raleigh_Seal.svg.png
43,Omaha,Nebraska,408958,421570,0.0308,3218,"http://en.wikipedia.org/wiki/Omaha,_Nebraska",http://upload.wikimedia.org/wikipedia/en/c/c6/City_of_Omaha_NE_Seal.jpg
44,Miami,Florida,399457,413892,0.0361,11136,"http://en.wikipedia.org/wiki/Miami,_Florida",http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Seal_of_Miami%2C_Florida.svg/200px-Seal_of_Miami%2C_Florida.svg.png
45,Oakland,California,390724,400740,0.0256,7004,"http://en.wikipedia.org/wiki/Oakland,_California",http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Flag_of_Oakland%2C_California.svg/200px-Flag_of_Oakland%2C_California.svg.png
46,Tulsa,Oklahoma,391906,393987,0.0053,1992,"http://en.wikipedia.org/wiki/Tulsa,_Oklahoma",http://upload.wikimedia.org/wikipedia/en/thumb/1/16/TulsaOklahomaSeal.svg/200px-TulsaOklahomaSeal.svg.png
47,Minneapolis,Minnesota,382578,392880,0.0269,7088,"http://en.wikipedia.org/wiki/Minneapolis,_Minnesota",http://upload.wikimedia.org/wikipedia/commons/8/86/Minneapolis_seal.gif
48,Cleveland,Ohio,396815,390928,-0.0148,5107,"http://en.wikipedia.org/wiki/Cleveland,_Ohio",http://upload.wikimedia.org/wikipedia/en/c/cd/Cleveland_seal-T.png
49,Wichita,Kansas,382368,385577,0.0084,2400,"http://en.wikipedia.org/wiki/Wichita,_Kansas",http://upload.wikimedia.org/wikipedia/en/8/81/Wichita_Kansas_seal.png
